In2Se3_bronze from Matlab for Lammps

300 atoms

2 atom types

-38.320985 38.320985 xlo xhi
-2.150000 1.900000 ylo yhi
-38.320985 38.320985 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

1 1 5.513656 -1.150000 31.269474
2 1 2.214902 0.900000 31.674511
3 1 11.894459 -1.150000 29.439808
4 1 8.752002 0.900000 30.521843
5 1 17.755417 -1.150000 26.323480
6 1 14.906598 0.900000 28.035224
7 1 22.840378 -1.150000 22.056690
8 1 20.409704 0.900000 24.323331
9 1 26.927104 -1.150000 16.825917
10 1 25.020808 0.900000 19.548392
11 1 29.836987 -1.150000 10.859771
12 1 28.538382 0.900000 13.919094
13 1 31.442851 -1.150000 4.419000
14 1 30.808692 0.900000 7.681465
15 1 31.674511 -1.150000 -2.214902
16 1 31.732515 0.900000 1.108119
17 1 30.521843 -1.150000 -8.752002
18 1 31.269474 0.900000 -5.513656
19 1 28.035224 -1.150000 -14.906598
20 1 29.439808 0.900000 -11.894459
21 1 24.323331 -1.150000 -20.409704
22 1 26.323480 0.900000 -17.755417
23 1 19.548392 -1.150000 -25.020808
24 1 22.056690 0.900000 -22.840378
25 1 13.919094 -1.150000 -28.538382
26 1 16.825917 0.900000 -26.927104
27 1 7.681465 -1.150000 -30.808692
28 1 10.859771 0.900000 -29.836987
29 1 1.108119 -1.150000 -31.732515
30 1 4.419000 0.900000 -31.442851
31 1 -5.513656 -1.150000 -31.269474
32 1 -2.214902 0.900000 -31.674511
33 1 -11.894459 -1.150000 -29.439808
34 1 -8.752002 0.900000 -30.521843
35 1 -17.755417 -1.150000 -26.323480
36 1 -14.906598 0.900000 -28.035224
37 1 -22.840378 -1.150000 -22.056690
38 1 -20.409704 0.900000 -24.323331
39 1 -26.927104 -1.150000 -16.825917
40 1 -25.020808 0.900000 -19.548392
41 1 -29.836987 -1.150000 -10.859771
42 1 -28.538382 0.900000 -13.919094
43 1 -31.442851 -1.150000 -4.419000
44 1 -30.808692 0.900000 -7.681465
45 1 -31.674511 -1.150000 2.214902
46 1 -31.732515 0.900000 -1.108119
47 1 -30.521843 -1.150000 8.752002
48 1 -31.269474 0.900000 5.513656
49 1 -28.035224 -1.150000 14.906598
50 1 -29.439808 0.900000 11.894459
51 1 -24.323331 -1.150000 20.409704
52 1 -26.323480 0.900000 17.755417
53 1 -19.548392 -1.150000 25.020808
54 1 -22.056690 0.900000 22.840378
55 1 -13.919094 -1.150000 28.538382
56 1 -16.825917 0.900000 26.927104
57 1 -7.681465 -1.150000 30.808692
58 1 -10.859771 0.900000 29.836987
59 1 -1.108119 -1.150000 31.732515
60 1 -4.419000 0.900000 31.442851
61 1 1.255892 -1.150000 35.968506
62 1 8.706721 -1.150000 34.921393
63 1 5.008745 0.900000 35.640190
64 1 15.777024 -1.150000 32.348048
65 1 12.309304 0.900000 33.819990
66 1 22.157795 -1.150000 28.360938
67 1 19.071887 0.900000 30.521694
68 1 27.570165 -1.150000 23.134319
69 1 25.000938 0.900000 25.889453
70 1 31.777586 -1.150000 16.896619
71 1 29.837328 0.900000 20.125719
72 1 34.596174 -1.150000 9.920455
73 1 33.369683 0.900000 13.482395
74 1 35.902743 -1.150000 2.510721
75 1 35.443623 0.900000 6.249825
76 1 35.640190 -1.150000 -5.008745
77 1 35.968506 0.900000 -1.255892
78 1 33.819990 -1.150000 -12.309304
79 1 34.921393 0.900000 -8.706721
80 1 30.521694 -1.150000 -19.071887
81 1 32.348048 0.900000 -15.777024
82 1 25.889453 -1.150000 -25.000938
83 1 28.360938 0.900000 -22.157795
84 1 20.125719 -1.150000 -29.837328
85 1 23.134319 0.900000 -27.570165
86 1 13.482395 -1.150000 -33.369683
87 1 16.896619 0.900000 -31.777586
88 1 6.249825 -1.150000 -35.443623
89 1 9.920455 0.900000 -34.596174
90 1 -1.255892 -1.150000 -35.968506
91 1 2.510721 0.900000 -35.902743
92 1 -8.706721 -1.150000 -34.921393
93 1 -5.008745 0.900000 -35.640190
94 1 -15.777024 -1.150000 -32.348048
95 1 -12.309304 0.900000 -33.819990
96 1 -22.157795 -1.150000 -28.360938
97 1 -19.071887 0.900000 -30.521694
98 1 -27.570165 -1.150000 -23.134319
99 1 -25.000938 0.900000 -25.889453
100 1 -31.777586 -1.150000 -16.896619
101 1 -29.837328 0.900000 -20.125719
102 1 -34.596174 -1.150000 -9.920455
103 1 -33.369683 0.900000 -13.482395
104 1 -35.902743 -1.150000 -2.510721
105 1 -35.443623 0.900000 -6.249825
106 1 -35.640190 -1.150000 5.008745
107 1 -35.968506 0.900000 1.255892
108 1 -33.819990 -1.150000 12.309304
109 1 -34.921393 0.900000 8.706721
110 1 -30.521694 -1.150000 19.071887
111 1 -32.348048 0.900000 15.777024
112 1 -25.889453 -1.150000 25.000938
113 1 -28.360938 0.900000 22.157795
114 1 -20.125719 -1.150000 29.837328
115 1 -23.134319 0.900000 27.570165
116 1 -13.482395 -1.150000 33.369683
117 1 -16.896619 0.900000 31.777586
118 1 -6.249825 -1.150000 35.443623
119 1 -9.920455 0.900000 34.596174
